[0.149s] Invoking command in '/home/viktordg/Create3/build/irobot_create_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/viktordg/Create3/build/irobot_create_description -- -j8 -l8
[0.524s] Invoked command in '/home/viktordg/Create3/build/irobot_create_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/viktordg/Create3/build/irobot_create_description -- -j8 -l8
[0.686s] Invoking command in '/home/viktordg/Create3/build/irobot_create_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/viktordg/Create3/build/irobot_create_description
[0.776s] -- Install configuration: ""
[0.778s] -- Execute custom install script
[0.779s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//meshes/body_visual.dae
[0.779s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//meshes/bumper_collision.dae
[0.791s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//meshes/bumper_visual.dae
[0.791s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//meshes/dock/visual.dae
[0.792s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//urdf/bumper.urdf.xacro
[0.792s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//urdf/button.urdf.xacro
[0.792s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//urdf/caster.urdf.xacro
[0.793s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//urdf/common_properties.urdf.xacro
[0.793s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//urdf/create3.urdf.xacro
[0.793s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//urdf/dock/ir_emitter.urdf.xacro
[0.793s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//urdf/dock/standard_dock.urdf.xacro
[0.794s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//urdf/sensors/cliff_sensor.urdf.xacro
[0.794s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//urdf/sensors/imu.urdf.xacro
[0.794s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//urdf/sensors/ir_intensity.urdf.xacro
[0.801s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//urdf/sensors/ir_opcode_receivers.urdf.xacro
[0.801s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//urdf/sensors/optical_mouse.urdf.xacro
[0.802s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//urdf/wheel.urdf.xacro
[0.802s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//urdf/wheel_drop.urdf.xacro
[0.802s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description//urdf/wheel_with_wheeldrop.urdf.xacro
[0.810s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/ament_index/resource_index/package_run_dependencies/irobot_create_description
[0.830s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/ament_index/resource_index/parent_prefix_path/irobot_create_description
[0.831s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description/environment/ament_prefix_path.sh
[0.831s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description/environment/ament_prefix_path.dsv
[0.832s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description/environment/path.sh
[0.833s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description/environment/path.dsv
[0.834s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description/local_setup.bash
[0.834s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description/local_setup.sh
[0.834s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description/local_setup.zsh
[0.836s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description/local_setup.dsv
[0.840s] -- Symlinking: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description/package.dsv
[0.869s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/ament_index/resource_index/packages/irobot_create_description
[0.876s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description/cmake/irobot_create_descriptionConfig.cmake
[0.879s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description/cmake/irobot_create_descriptionConfig-version.cmake
[0.881s] -- Up-to-date symlink: /home/viktordg/Create3/install/irobot_create_description/share/irobot_create_description/package.xml
[0.960s] Invoked command in '/home/viktordg/Create3/build/irobot_create_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/viktordg/Create3/build/irobot_create_description
